,List of Tweets
0,"backseat serenade, dizzy hurricane
oh god, i’m sick of sleeping alone"
1,У меня одной по ночам резко пропадают все навыки написания нцы и вместо чего-то нормального выходит какое-то клишир… https://t.co/bS1z213Cl2
2,RT @philklotzbach: #Lorenzo now has a minimum central pressure (MSLP) of 943 hPa - the lowest for a #hurricane this far east in the Atlanti…
3,@texas_hurricane @mcgilh @Megan4MAGA @carrerapulse @USAloveGOD @MagaMammy @sh_irredeemable @petluvers4Trump… https://t.co/xMmmUkQ5yf
4,Hurricane Dorian - the 2nd strongest in the Atlantic on record - caused widespread destruction of property &amp; infras… https://t.co/96hVlHrITM
5,"RT @TARCweather: All Atlantic Category 5 hurricanes have made landfall at some location at hurricane strength. 

#Lorenzo could make histor…"
6,RT @philklotzbach: #Lorenzo now has max winds of 145 mph - the strongest #hurricane east of 45°W in the Atlantic on record. https://t.co/RS…
7,@_itchoosesyou_ @Ghostofvilla @missjulialee @Lo_Gannicus @TorCWoman @MKshake_ @HappyHoHunter @Richard_Stands… https://t.co/5PHBB7p3R5
8,@texas_hurricane @juliedeplorable @MagaMammy @petluvers4Trump @carrerapulse @Jamierodr14 @USAloveGOD @Megan4MAGA… https://t.co/ikRX6tHViy
9,@Loki_1399 @Chickory19 @ginaC777 @AnonymousEagle4 @TweetsMinister @squirrelpigeon @fringepatriot @pigeonberry1836… https://t.co/3YEGi5sg90
10,"RT @ChuckRossDC: So when does all the FISA, Chris Steele and Crossfire Hurricane stuff get declassified and released?"
11,"RT @Curbed: In storm-battered Bahamas, solar microgrids hint at a carbon-free future https://t.co/XMyhanADcc https://t.co/fJoQ51klbM"
12,RT @philklotzbach: Atlantic #hurricane records in the eastern tropical Atlantic prior to the satellite era (since 1966) are likely somewhat…
13,@Lo_Gannicus @RambleOn2019 @HappyHoHunter @_itchoosesyou_ @Ghostofvilla @missjulialee @TorCWoman @MKshake_… https://t.co/i0uPhTkyb8
14,RT @iCyclone: #HurricaneMan fans: @ScienceChannel is switching schedules again. 😜 The most reliable place to catch series in the USA: Amazo…
15,"RT @weatherdak: Hurricane Lorenzo.

A beast of a storm. https://t.co/BCDH0y2G20"
16,"RT @mrbenwexler: trump lied about Obama’s birth certificate, settled a $25 million dollar fraud lawsuit of his “university,” used campaign…"
17,RT @SophistsAwake: @texas_hurricane @KatieFLelite7 @MagaMammy @petluvers4Trump @carrerapulse @Jamierodr14 @USAloveGOD @Megan4MAGA @sh_irred…
18,me &amp; the girls after hurricane dorian 💕🤞🏼💯 https://t.co/1ssdEYnCYo
19,@Chickory19 @ginaC777 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/dPg5iD2ra4
20,@SophistsAwake @texas_hurricane @KatieFLelite7 @MagaMammy @petluvers4Trump @carrerapulse @Jamierodr14 @USAloveGOD… https://t.co/EBGKV99CJO
21,"RT @JesseFFerguson: Remember when Trump tried to cover up his mistake by creating a hurricane with his Sharpie? 

It was a simpler time."
22,RT @elunatyk: I don’t live in a hurricane area because I’m afraid of being caught on the news sitting on my roof clutching my Keurig.
23,"RT @ABCWorldNews: FIRST MAJOR SNOWSTORM: Up to three feet of snow is expected in parts of the Rockies, the first major winter storm watch o…"
24,@DoYouEvenLIf Worst line ever unless the response is “I’ll rock you like a hurricane “
25,@fwbla @Chickory19 @ginaC777 @AnonymousEagle4 @TweetsMinister @squirrelpigeon @fringepatriot @pigeonberry1836… https://t.co/etD2boH4LD
26,@RambleOn2019 @HappyHoHunter @_itchoosesyou_ @Ghostofvilla @missjulialee @TorCWoman @MKshake_ @Richard_Stands… https://t.co/spUI45zUxu
27,"RT @MelanieLawson13: REMEMBER RITA &amp; ALL THAT TRAFFIC?

HURRICANE RITA: More than 1.3 million people in Texas and Louisiana were evacuated,…"
28,They seriously need to include climate change in the game of monopoly. They need to include cards that says 5 house… https://t.co/P72gDNffwi
29,@ABC All people living in paths of hurricane or flooding should be required to build one of these
30,Drone finds animals stranded in the Bahamas after Hurricane Dorian https://t.co/feYfBajRpI https://t.co/Y2XBBoM9mI
31,@halsey and drive and hurricane and you know what i actually missed out on being able to go to a badlands concert s… https://t.co/LxOOZWfEQA
32,Drone helps filmmaker rescue pets stranded in the Bahamas after Hurricane Dorian https://t.co/F4gXzQaPPN (via NBC) https://t.co/mfCagk7mIU
33,@HuntinHippy @kwmeyer121 @Tangomitteckel @FriendsOScience @Dcoronata @EuphoricEuler @inperilous1 @SA_TEXROD… https://t.co/lPGdEsZOgX
34,"RT @chriscartw83: Meet the climate event of the week
Name:  #lorenzo
Another anomaly. 
It might not kill anybody, depending on trajectory.(…"
35,"RT @weather_history: Sept 26, 1998: There were four hurricanes spinning simultaneously in the Atlantic basin: Georges, Ivan, Jeanne, and Ka…"
36,"Whoever picks the name s for tropical systems needs to be given about 300 days' PTO, and let someone else in. I mea… https://t.co/397QdWRvtL"
37,"RT @BeingAuthor: New and trending - Wilder's fiction is like an icy-cold Hurricane slush on a hot, Louisiana day. @ericwilderok https://t.c…"
38,RT @ananavarro: Ran into one of @chefjoseandres food angels at MIA. @phelps757 is working with @wckitchen in the Bahamas. They’re still ser…
39,"Rudy in Divorce, earlier this year had Judith, his ex wife, wanting more alimony!
This is when this IQ hurricane ad… https://t.co/1kZfZt4DAs"
40,@alanstern2 @beefforsupper @GovTimWalz @wattsupwiththat @MichaelEMann @KHayhoe @GeraldKutney @GretaThunberg @UNFCCC… https://t.co/T4eNUzCLtZ
41,@Chickory19 @ginaC777 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/9I8djwSB4p
42,@conidave @Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/QK58UfS4vl
43,"ГОСПАДЯ ПОЧЕМУ Я ТАК РЕДКО СМОТРЮ ТЕБЯ В ТВИ, СОЛНЦЕ, Я ТОЖЕ💖♥️❤️♥️❤️🌚 https://t.co/gIcl0rGYHc"
44,RT @KlatuBaradaNiko: 🌀 Hurricane Irma as seen from the international space station  https://t.co/kdBPYU1f5d
45,@Lo_Gannicus @_itchoosesyou_ @Ghostofvilla @missjulialee @TorCWoman @MKshake_ @Richard_Stands @EvenBrokerRoca… https://t.co/QcPQDLkXop
46,@KalanuRaven @ginaC777 @Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot… https://t.co/cU7pma8BXv
47,R.E.M. just dropped an unreleased song for Hurricane Dorian relief efforts in the Bahamas https://t.co/Wjvyazzcef https://t.co/2FbHry6vLj
48,@seanhannity @marklevinshow So Sean.. there has never been a Miss Universe from Ukraine.  Trump is a compulsive lia… https://t.co/Y7N9NiSDDj
49,"RT @DavidBegnaud: Stats released today:
•A year after Hurricane Maria, both the population &amp; poverty rate declined in Puerto Rico
•Migratio…"
50,RT @realBradBrewer: To everyone freaking out about the transcripts/phone calls being moved to secondary intelligence servers that were priv…
51,RT @ImaginaryMoviez: #SyeRaa is the next Big thing from TFI. Carrying good reports from few industry people who have seen it. Just wait for…
52,"RT @RanveerOfficial: On my special day, here’s presenting THE HARYANA HURRICANE 🌪KAPIL DEV 🏏🏆

@83thefilm @kabirkhankk @deepikapadukone @ma…"
53,RT @_SJPeace_: Update on the 6 year-old who gave up his disney birthday trip money he raised to buy food and water for Hurricane Dorian eva…
54,"RT @saulmalone: no one: 

Feel Good Inc by The Gorillaz:

 https://t.co/4wWzhfxjRJ"
55,RT @tonyschwartz: When the hurricane finally lands on Trump -- not on Alabama -- it's going to be a full out tsunami. A generation of compl…
56,"RT @SeanCunningham: Inside @buddyhield's fundraising dinner at Sacramento's Camden Spit &amp; Larder raising $50,000 tonight for hurricane reli…"
57,@cdonfielding I spent 32 years in the Royal Navy and loved it. It’s not just a job it’s a way of life. Our forces d… https://t.co/gO3gHz4YFA
58,@ginaC777 @Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/OIb5m467v2
59,Check out Hurricane Tortilla's video! #TikTok https://t.co/yItE0EoPkU
60,RT @sharonvt75: @lrozen Trump said he couldn't go bc of Hurricane but played golf! https://t.co/A6Deub9v3g
61,@CBSNews Said the hurricane to the cyclone
62,"RT @PaulEmbery: Our political class is unfit for purpose. Self-obsessed, virtue-signalling, emotionally incontinent, fixated on things that…"
63,"RT @MichaelRLowry: With winds of 145 mph, Hurricane #Lorenzo really is in a league of its own for this time of year. https://t.co/PDz6BCt1YK"
64,@Heminator The amount of disharmony she has brought to general discourse and social media platforms should be disqualifying.
65,"RT @VoguesBest: Legendary Baby Hurricane West LSS (Chicago, 2013) https://t.co/WwzgkAVzas"
66,@hurricane_921 Me
67,"RT @CocktailsBot: Blue Hurricane (Alcoholic)
🍸 Highball glass
🥃 4 parts Rum
🥃 2 parts Dark Rum
📌 1 part Passoa
📌 1 part Blue Curacao
🥃 6 pa…"
68,RT @RogerPielkeJr: @cm_keys A concise summary: https://t.co/KWlo2Udhrt 👍🙏
69,@roywoodjr @Barnes_Law Better than any hurricane door I've seen
70,#HURRICANE Lorenzo Is The Strongest Hurricane On Record In The Eastern Atlantic Ocean https://t.co/qpXjm5lEK9 #FWCWeather
71,@tmazgal @texas_hurricane @petluvers4Trump @MagaMammy @carrerapulse @Jamierodr14 @USAloveGOD @Megan4MAGA… https://t.co/3O84WHd0b9
72,@conidave @Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/YHbsHC7ldR
73,"RT @YarosisNancy: A Year After Hurricane Florence, Coal Ash Is Still a Huge Concern For North Carolina https://t.co/wxfjgtRXUa via @EARTH3R"
74,RT @dbnicholls1: @jsolomonReports @texas_hurricane I believe that Sen. McCain may also have had some questionable Ukrainian connections?
75,#HURRICANE Lorenzo Is The Strongest Hurricane On Record In The Eastern Atlantic #OCEAN https://t.co/niDUOR0Biw
76,Scorpions - Rock You Like A Hurricane 1984 https://t.co/BxGMijeGpP  #kbradiothp #internetradio
77,~ i remember seeing something about the hurricane headed for new york that changed directions at the last minute. i… https://t.co/yLtNZNnS4n
78,@conidave @Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/m6qVx5YCDT
79,"#ひーわたんへ
森のホール21来たけど、すごく気持ちの良いところだね、開演まで公園で寝てようかな😋ひーわたんが紹介してた銭湯クアパレスも電車で行ける距離だけど、16時オープンぽいのでまた今度かな😋ひーわたんの新調したコンタクトに見つかってみせるぞー😋"
80,"RT @ZUMAZIP: ♥️ Help Glow Save Lives ♥️
SHARE RETWEET SUPPORT DONATE

⬇️PLEASE SUPPORT⬇️

https://t.co/zsEGoBmHqx  

@psallocco
Disaster, D…"
81,@Chickory19 @ginaC777 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/4RTBhFmmoC
82,#HURRICANE Lorenzo Is The Strongest Hurricane On Record In The Eastern Atlantic #OCEAN https://t.co/zNFQv1ivEz #GPWX
83,@texas_hurricane @JulieReichwein1 He’s got to go.!! He’s a paid Soros imposter.
84,RT @jfoard: @texas_hurricane @LovesDianna Exactly and I’m sure cnn and msnbc will be playing that clip during their programs.  He is a disg…
85,Could Tropical Storm Karen's 'loopy track' hit the U.S. just like Hurricane Jeanne in 2004? https://t.co/39AmqB5gfA
86,"RT @EricBlake12: Zooming out— here’s a look at how large #Lorenzo is. About 700 miles wide in the cloud shield, with TS winds in 300-400 mi…"
87,@texas_hurricane @Megan4MAGA @carrerapulse @USAloveGOD @MagaMammy @sh_irredeemable @petluvers4Trump @RealTrumpLady… https://t.co/da4Oca7poo
88,i have a dumb fucking assignment due tomorrow for my dumb fucking script analysis class at 8 in the goddam morning… https://t.co/gYP6ladk4v
89,"ニール・ヤング, Crazy HorseのLike a Hurricane - 2017 Remaster https://t.co/YbXByhwVvp #NowPlaying"
90,Lmfaoo https://t.co/5HcTgPYwlM
91,"@CanesEDIT Bottled steak sauce, i agree.  A béarnaise sauce can be great."
92,Drone helps filmmaker rescue pets stranded in the Bahamas after Hurricane Dorian https://t.co/wA9cFhnDED https://t.co/buzOMy8gR4
93,@TorCWoman @missjulialee @HappyHoHunter @_itchoosesyou_ @Ghostofvilla @MKshake_ @Richard_Stands @EvenBrokerRoca… https://t.co/Q2sM8IKCn2
94,Travel #news: Bermuda Tourism Authority: Island Is Open for Business Following Hurricane Humberto… https://t.co/YbmXqH0FLj
95,hurricane Katrina was the best thing to happen to curb your enthusiasm -@crucialdudekyle
96,@HappyHoHunter @_itchoosesyou_ @Ghostofvilla @missjulialee @TorCWoman @MKshake_ @Richard_Stands @EvenBrokerRoca… https://t.co/suCHnPAr3Y
97,"I’m being told that this was put up by a teacher at Hurricane High right here in Putnam County, WV
It’s against sch… https://t.co/AugaPTgNIr"
98,@texas_hurricane @__Sassafras_ @Megan4MAGA @carrerapulse @USAloveGOD @MagaMammy @sh_irredeemable @petluvers4Trump… https://t.co/e99HdukDdS
99,"RT @webberweather: Seeing as how #Lorenzo is nearly a category 5 hurricane, it's worth mentioning that no tropical cyclone in the Atlantic…"
100,RT @tmazgal: @texas_hurricane @petluvers4Trump @MagaMammy @carrerapulse @Jamierodr14 @USAloveGOD @Megan4MAGA @sh_irredeemable @TrumpsGAGirl…
101,RT @OrgPhysics: Hurricane Irma as seen from the international space station https://t.co/yCGVjk5wwO
102,"RT @tburages: Which is more impeachable?

1. Firing Comey because of “that Russia thing” and bragging to Kremlin officials about it

2. Ext…"
103,@ginaC777 @Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/JMwZCnyZXy
104,@missjulialee @HappyHoHunter @_itchoosesyou_ @Ghostofvilla @TorCWoman @MKshake_ @Richard_Stands @EvenBrokerRoca… https://t.co/pwP9NJUAVb
105,"♥️ Help Glow Save Lives ♥️
SHARE RETWEET SUPPORT DONATE

⬇️PLEASE SUPPORT⬇️

https://t.co/zsEGoBmHqx  

@psallocco… https://t.co/f77IQvuyTA"
106,@Chickory19 @conidave @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/WwGagIC13c
107,RT @girlscouts: 17-year-old Lindsey Smith hopes her act will help others while also illustrating what’s at the core of the Girl Scouts — se…
108,"RT @deviIette: Hurricane Lorenzo looks like it could cover Puerto Rico, Hispanola AND Cuba from how fucking massive it is https://t.co/foll…"
109,@ginaC777 @conidave @Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/MwKJuFkgDN
110,RT @BEEHAPP80133168: @texas_hurricane @mcgilh @MagaMammy @petluvers4Trump @carrerapulse @Jamierodr14 @USAloveGOD @Megan4MAGA @sh_irredeemab…
111,RT @BarackObama: Bahamian families and communities face a long recovery from Hurricane Dorian. And Americans are reaching out to help. Brit…
112,@ginaC777 @conidave @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/A8yTbTrmJI
113,"RT @severeweatherEU: *Tropical* Impressive view of now CAT4 Hurricane #Lorenzo by GOES East satellite this afternoon, September 26th. Photo…"
114,@missjulialee @Lo_Gannicus @HappyHoHunter @_itchoosesyou_ @Ghostofvilla @MKshake_ @Richard_Stands @EvenBrokerRoca… https://t.co/ayhTgRNLzm
115,"Man, the weather today was wicked.

Woke up in a storm, had a nice late lunch outdoors in the sun, went back to cla… https://t.co/rbTLduPVzE"
116,@Brandaid_ Hurricane
117,"@MyRealmKALentz Ok, this is horror movie bad &amp; I don't want to give you nightmares, but after a hurricane some rats… https://t.co/JSrC9gt6mB"
118,RT @severeweatherEU: *Tropical Watch for #hurricane #Lorenzo* A potentially dangerous hurricane Lorenzo is heading towards #Azores mid-next…
119,"RT @MichaelRLowry: Really for any time of year, a hurricane this strong so far east is remarkably impressive. #Lorenzo #HurricaneLorenzo ht…"
120,@Lo_Gannicus @_itchoosesyou_ @Ghostofvilla @missjulialee @TorCWoman @MKshake_ @Richard_Stands @EvenBrokerRoca… https://t.co/Z1C2x0ygPY
121,https://t.co/EwRJkyLd6t
122,"What was that? Don't you know love is always a hurricane!?

「アンだとコラ 恋はいつもハリケーンなんだよ！！」

サンジ

https://t.co/YACrgXE3Qg"
123,@Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399 @pigeonberry1836… https://t.co/VvWa07GQkZ
124,RT @YourManScarf: The year is 2029. The survivors of Hurricane Old Spice® have been herded into a sprawling refugee camp just north of Colu…
125,@conidave @ginaC777 @Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/7SOGNKT8le
126,"RT @WAVY_News: Hurricane Lorenzo is a BEAST. 

Thankfully it's predicted to stay far away from us. https://t.co/SKFVa47Fr9"
127,@HappyHoHunter @_itchoosesyou_ @Ghostofvilla @missjulialee @TorCWoman @MKshake_ @Richard_Stands @EvenBrokerRoca… https://t.co/1SiearHzrA
128,RT @burgwx: Hurricane Lorenzo reached category 4 intensity unusually far to the east. Most category 4 hurricanes reach such intensity west…
129,"@bacodkiller @qs_kahfi @rockygerung Look kak,
Hurricane yg tiba gak bisa dihentikan.
Ia akan memporak-porandakan ap… https://t.co/na24NSa5nK"
