category;tweet_id;text;date;retweet_count
groundwater pollution;1.14E+18;"Policymakers must weigh up tradeoffs when devising groundwater conservation and crop residue burning policies to avoid #airpollution crisis in #NewDelhi. Learn more here: https://t.co/hegmwyjt2z

*@ACIARAustralia #cropburning #India #wheat #rice #HappySeeder https://t.co/UccJynm5js";6/25/2019 19:08;0
groundwater pollution;1.14E+18;"Congratulations to *@CleanPowerLC in Illinois! NRG Energy’s Waukegan Generating Station, which is located on Lake Michigan’s shoreline, is one of four Illinois coal plants accused by environmental groups of breaking state pollution laws and regulations.

https://t.co/sFd8WK7b4h";6/25/2019 19:05;0
groundwater pollution;1.14E+18;full investigation is what we need in Missouri *@MoDNR *@GovMikeParson #WaterIsLife *@EPA what is the groundwater containing in Labadie MO *@LabadieEnvirOrg  anybody know?  it looks bad, the initial testing.  How can this coal ash pollution continue? https://t.co/AiMb9oAYfx;6/25/2019 15:27;0
groundwater pollution;1.14E+18;#Environment #Toxic #ToxicSecrets #TheRecord #DuPont #Chemours #Health #Pollution #ToxicSites #PeopleMatter #TheFutureMatters #Water #PomptonLakes #Air #Soil #Lead #Mercury #Arsenic #Groundwater #TCE #PCE #NewJersey #EPA #DEP https://t.co/saGo5UJ6PA;6/25/2019 11:42;0
groundwater pollution;1.14E+18;"🌻#DYK that #sunflowers reduce groundwater pollution?

Help us better understand its crop's life cycle &amp  improve the production forecasts.

Tweet a photo of sunflowers in bloom, use #YellowFlowersEU &amp  tag your location when posting📍
https://t.co/iaESSebEK9 *@EU_ENV *@CopernicusEU https://t.co/FYGpKv2hbW";6/25/2019 9:50;3
groundwater pollution;1.14E+18;Already under threat of depletion &amp  impacted by increased pollution, as communities in the SADC region turn to groundwater as their primary source, governments, research institutes &amp  development partners need to intensify groundwater initiatives. https://t.co/fiVt5ThCQ9 #SADCGMI https://t.co/Xa1XhbgOCh;6/25/2019 9:15;0
groundwater pollution;1.14E+18;Contamination of surface &amp  ground water sources due to industrial pollution is a critical issue in India. Learn how communities can use the Water Act and other laws to find administrative remedies to combat water pollution. More here: https://t.co/wUDRhlyzX2 #environmentaljustice https://t.co/jtU1iOulg1;6/25/2019 5:10;2
groundwater pollution;1.14E+18;"After contamination found in groundwater, NC DEQ orders investigation of Chatham County Coal Ash Site #coalash #pollution 
https://t.co/GuOtX0SQkj?";6/25/2019 2:56;4
groundwater pollution;1.14E+18;"Victory in Illinois: Coal plant found guilty of polluting groundwater with coal ash:
https://t.co/htS3EN05le
#pollution #coalash #fossilfuels";6/24/2019 19:00;1
groundwater pollution;1.14E+18;*@BadgerMash *@EnvAgencyMids Yes good point! I’m sure they didn’t follow our cemetery guidance to prevent groundwater pollution! https://t.co/Bf8jxoyKZm;6/24/2019 18:03;0
