category;tweet_id;text;date;retweet_count;geo;coordinates;place_id;place_centroid;place_country;place_country_code;place_full_name;place_name;place_type
#waterandsanitation;1.15274E+18;#Rotary #WaterAndSanitation Focus Area https://t.co/d4RV1GHbyE;7/21/2019 0:20;0;;;;;;;;;
#waterandsanitation;1.15248E+18;Reminder of the impact that *@waterequityorg is having in scaling up #waterandsanitation lending. Pleased to have made a $20m loan in support of their operations in Asia https://t.co/RbqsCWWueC;7/20/2019 7:43;0;;;;;;;;;
#waterandsanitation;1.15145E+18;"🎊 More #winners from #epAward2019

The €20K *@KnorrBremseAG WASH Award is *@AUTARCON, with the most #sustainable #waterandsanitation solution.
With the most online votes, the Community Prize and €10K goes to *@sesitechgh. #agriculture

🔍 For more info https://t.co/j9wWrLrOz8 https://t.co/tlw5G3Y9oJ";7/17/2019 11:06;1;;;;;;;;;
#waterandsanitation;1.15109E+18;🎊 More #winners from #epAward2019 The €20K Knorr-Bremse WASH Award is *@AUTARCON, with the most #sustainable #waterandsanitation solution. With the most online votes, the Community Prize and €10K goes to *@sesitechgh. #agriculture 🔍 For more info https://t.co/Rn7rTZ2q2s https://t.co/vjjFYGieQi;7/16/2019 11:15;1;;;;;;;;;
#wastewater;1.15367E+18;"Tightened environmental regulation has brought increased scrutiny on CSOs in recent years. The latest #WWTExplains in association with *@Innovyze explores the benefits of #sewermodelling. 

Download the report now &gt  https://t.co/ul4F0JBd5K
#water #wastewater #utilities #sewers https://t.co/xgqmszMp4L";7/23/2019 14:02;0;;;;;;;;;
#wastewater;1.15367E+18;"The Town of Hantsport in Nova Scotia is upgrading its water and sewer system with support from the federal and provincial governments.

https://t.co/97W2C0UXiT

#DrinkingWater #Wastewater #Infrastructure https://t.co/pMgbCJ7Cue";7/23/2019 14:00;0;;;;;;;;;
#wastewater;1.15367E+18;*@WWTMag eBook explains how variable speed drives can help reduce the millions of litres of clean, potable water lost each year through leakage. Download here: https://t.co/0m5WiU4NsH #vsds #water #wastewater #leakage #transients #networks #pressure;7/23/2019 14:00;0;;;;;;;;;
#wastewater;1.15366E+18;"💻 #Webinar: Intelligent Pumping - Simplifying Design to Optimize Operations
🗓 This Friday! July 26, 2019
⏰ 11:00 a.m. ET

Learn about the technical challenges facing current #wastewater #pump stations and how using intelligent equipment can solve them. https://t.co/YV4Q4eGgqM https://t.co/j2s1fxudxD";7/23/2019 13:46;0;;;;;;;;;
#wastewater;1.15366E+18;New blog post from our founder, Craig Lindell, on Decentralized Wastewater Treatment - https://t.co/Ffig5redmg #wastewater #wastewatertreatment #decentralized #sewer #environment #sustainability #aquapoint https://t.co/iVOMNVxxds;7/23/2019 13:24;0;;;;;;;;;
#wastewater;1.15365E+18;'Unblocktober' campaign launched to save sewers and seas - WWT #wastewater #water #plumbers #plumbing https://t.co/oheSkmW7JY;7/23/2019 13:15;0;;;;;;;;;
#wastewater;1.15365E+18;Geospatial Team Leader https://t.co/5vcsQNZL9T #wastewater;7/23/2019 13:12;0;;;;;;;;;
