category;tweet_id;text;date;retweet_count
groundwater contamination;1.14E+18;*@CPochari *@DickWinchester *@william_sw *@MLiebreich Interesting if methane is captured from say landfill offgassing, but it doesn’t solve the intrinsic problems of groundwater contamination from fracking or the leakage of methane from production sites and otherwise into the atmosphere.;6/25/2019 21:53;0
groundwater contamination;1.14E+18;Potential contamination of groundwater angers rural Featherston residents https://t.co/KgVPRFJ4NQ;6/25/2019 16:01;0
groundwater contamination;1.14E+18;Does fracking cause groundwater contamination? The #OilandGas industry protects groundwater in a number of ways, but the most effective protection comes from solid well construction. Learn more at: https://t.co/n3zSD4UjjY https://t.co/SnlBYPhlsw;6/25/2019 15:00;0
groundwater contamination;1.14E+18;"*@MarkPlackett1 *@GreatGasScam *@davesgas *@fagandr1 *@LindaMSmith6 *@coonavass *@GeorgeBender68 *@simonahac *@IEEFA_AsiaPac *@TheAusInstitute *@ScottMorrisonMP *@AngusTaylorMP *@TimBuckleyIEEFA *@justdanfornow *@JoshFrydenberg *@mcannonbrookes *@BNW_Ben and the one for contamination by toxic CSG frack water contaminating your bore or groundwater ? u cld send them that one ...cept u won't get a policy to cover it..apparently no insurer will give u a policy on an event with a likelihood of certainty ..
#BanTheFrack";6/25/2019 12:57;0
groundwater contamination;1.14E+18;"In addition to the contaminants listed in the article, the company found statistically significant increases of several heavy metals- including some that never showed up in background monitoring #DukeEnergy #coalash #ncpol

 https://t.co/1DZke03Ghc";6/25/2019 11:43;1
groundwater contamination;1.14E+18;"What does proactive look like? What does a department working to protect the people and searching for answers look like? *@Michael_S_Regan *@NCDEQ I see you 👏🙌❤️ we've come a long way and I'm so thankful #NC #coalash #change #digit 

 https://t.co/C4SnSDd5Qh";6/25/2019 10:51;6
groundwater contamination;1.14E+18;See our latest guide on how to plan for your #ContaminatedLand #SiteInvestigation within our new Land Contamination Risk Management guidance https://t.co/DBQKnC0S3t You will need to collect/analyse #soil #groundwater #surfacewater #soilgas using #trialpits exploratory #boreholes https://t.co/xMtE7fgo5Q;6/25/2019 10:00;1
groundwater contamination;1.14E+18;Potential contamination of groundwater angers rural Featherston residents https://t.co/qsSFrYob0h;6/25/2019 6:57;0
groundwater contamination;1.14E+18;Contamination of surface &amp  ground water sources due to industrial pollution is a critical issue in India. Learn how communities can use the Water Act and other laws to find administrative remedies to combat water pollution. More here: https://t.co/wUDRhlyzX2 #environmentaljustice https://t.co/jtU1iOulg1;6/25/2019 5:10;2
groundwater contamination;1.14E+18;"#codebrown 😉.
Council's wastewater proposal could contaminate surrounding private bores. https://t.co/3k5Qp5uotb";6/25/2019 5:05;0
groundwater contamination;1.14E+18;"After contamination found in groundwater, NC DEQ orders investigation of Chatham County Coal Ash Site #coalash #pollution 
https://t.co/GuOtX0SQkj?";6/25/2019 2:56;4
groundwater contamination;1.14E+18;NCDEQ orders full investigation of Chatham County coal ash site #groundwater https://t.co/J6JvVOT2pP;6/24/2019 23:34;0
groundwater contamination;1.14E+18;After contamination found in groundwater, DEQ orders full investigation of Chatham County coal ash site | https://t.co/Uj5jTosnX8 #ncga #ncpol #coalash;6/24/2019 22:15;8
groundwater contamination;1.14E+18;https://t.co/yywNNtXzKG #Time4NC #CorporateCleanup #ncga;6/24/2019 21:48;0
groundwater contamination;1.14E+18;Coal ash contamination found in Co Chatham groundwater. DEQ notified 6/9/19, now sending a letter..  https://t.co/9kUi0DrAdd cc *@RedTRaccoon;6/24/2019 20:25;0
groundwater contamination;1.14E+18;"Public meeting in #SouthLakeTahoe Wednesday to discuss the current status of #PCE contamination and cleanup of groundwater.  *@SouthTahoePUD #TahoeKeys #LahontanWater 
https://t.co/oBWchqaA8t https://t.co/O4bEhixGyO";6/24/2019 19:47;0
groundwater contamination;1.14E+18;"""A recipe for disaster"" Groundwater has been contaminated w chromium, vanadium + more near the Brickhaven coal ash repository for more than 3 yrs https://t.co/d2teT0xrcW  *@ncdeq *@ncpolicywatch *@tvickBREDL #ncpol #ncga";6/24/2019 18:02;25
groundwater contamination;1.14E+18;After contamination found in groundwater, DEQ orders full investigation of Chatham County coal ash site | NC Policy Watch https://t.co/pPQx26rKJX;6/24/2019 17:53;0
groundwater contamination;1.14E+18;Up to 50 million Americans could be drinking from groundwater 💧potentially contaminated with pesticides. Help prevent tap water contamination by demanding natural crop care solutions 🌱 like neem. Learn why neem is an optimal solution in agriculture at https://t.co/kd1QJIiWmX!🌎 https://t.co/radbW5IpOd;6/24/2019 17:01;0
groundwater contamination;1.14E+18;"UtilityDive: Illinois regulators last week changed air pollution controls, mandated 2 GW coal retirements and agreed with climate advocates in a groundwater contamination lawsuit.

https://t.co/TmRUnvl3VQ";6/24/2019 15:42;0
groundwater contamination;1.14E+18;"Illinois regulators last week changed air pollution controls, mandated 2 GW coal retirements and agreed with climate advocates in a groundwater contamination lawsuit.

https://t.co/e69ayOSMSD";6/24/2019 15:39;1
groundwater contamination;1.14E+18;Are all Missouri coal ash ponds really causing groundwater contamination? https://t.co/TZb7GKLU0w # via *@PolitiFactMo;6/23/2019 22:31;0
groundwater contamination;1.14E+18;Catch up on the latest state regulatory initiatives aimed at addressing groundwater and drinking water #PFAS contamination #EnergyFinanceReport #environmentallaw https://t.co/wUMJzKLMhl~;6/23/2019 15:01;0
groundwater contamination;1.14E+18;"#ToxicWaterNews: 
‛ Livonia Residents Demand Ford Motor Co. Clean Up Contamination From Nearby Plant ’ | Michigan Radio |  Alden Village Is On Top Of A Plume Of Groundwater Contaminated With Vinyl Chloride &amp  Trichlorethylene - Both Known... https://t.co/hRO9vN6FLU";6/23/2019 13:05;0
groundwater contamination;1.14E+18;Is most of the Hyannis area groundwater contamination coming from the Barnstable Municipal Airport?;6/23/2019 12:07;1
groundwater contamination;1.14E+18;"A Kansas Department of Health and Environment (KDHE) study found no evidence of a cancer or birth-defect cluster related to groundwater contamination in Haysville. 

https://t.co/m0gNS9iheX";6/22/2019 15:30;0
groundwater contamination;1.14E+18;The Safe Shops program  addresses issues like air disinfection, storage of flammable chemicals, spills and soil/groundwater contamination, etc. Visit  https://t.co/7VAnADj4S4 to learn more.;6/22/2019 14:01;1
groundwater contamination;1.14E+18;New restricted standards for PFAS contamination and the DHS setting the Health Advisory Limit (HAL) to 20 parts per trillion will truly make Wisconsin a leader in environmental... https://t.co/lY0iaohCa7;6/22/2019 10:59;0
groundwater contamination;1.14E+18;*@bmcbbsr Badagada Brit Colony residents are facing a major groundwater contamination issue. Reports show e-coli bacteria in the water. I request you to Please do the needful...;6/22/2019 10:13;0
groundwater contamination;1.14E+18;In 1981, the State of California ordered the removal of over one thousand drums and 25 cubic yards of contaminated soil beneath Rhone-Pulenc  for three years groundwater monitoring wells were operated by the EPA. The extent of contamination was fairly widespread. /5 https://t.co/2EqHEjPMop;6/21/2019 20:52;1
groundwater contamination;1.14E+18;*@antiquechic1 *@JWils60 *@Otto_English *@zatzi Not too sure what you mean by fracking. Do you support the process or do you want to ban it? The evidence so far suggests it is a bad thing and can lead to contamination of groundwater. As a geologist, I know a fair bit about the inter-connectivity of aquifers so I am against it.;6/21/2019 20:30;1
groundwater contamination;1.14E+18;"Wake County next week will mail more than 19,000 notices to inform private well owners and users about naturally-occurring groundwater contaminants found in the eastern half of the county, according to a press release.

https://t.co/LukbbVSQk6";6/21/2019 18:45;2
groundwater contamination;1.14E+18;More than 120 properties in the Broad Run Farms community affected by Hidden Lane Landfill superfund site groundwater contamination will be hooked up to the public water system by the federal EPA. https://t.co/05BxxxVcrV;6/21/2019 15:33;3
groundwater contamination;1.14E+18;"https://t.co/lfEvZg7Vro
Horse properties, auto repair properties,car washes, etc.";6/21/2019 14:46;0
groundwater contamination;1.14E+18;#PFAS #contamination is beginning to have a major effect on the #dairy #industry.  https://t.co/wPkCioVBr5 https://t.co/xTiBHGPrKd;6/21/2019 13:43;0
groundwater contamination;1.14E+18;"As #Chennai reels under #water crisis, faulty restoration of Paruthipattu #lake left citizens distressed. The citizens expressed their concern about contamination of the lake, #pollution of #groundwater, and poor implementation of the plan.
https://t.co/PLNPmYr9fM https://t.co/aVERpV7zN2";6/21/2019 13:29;0
groundwater contamination;1.14E+18;PFAS contamination can potentially lead to kidney damage, some cancers and reduced fertility, but it's unclear whether $9.5 million to study PFAS in groundwater will get signed off: https://t.co/LhxMFaBjpZ;6/21/2019 5:47;2
groundwater contamination;1.14E+18;#Groundwater reserves in the Canaries seem plentiful but as population and tourism grows, so does the demand. With little means to import freshwater in a water failure event, freshwater use in #Canaries could be under threat by farm/tourist use and contamination (4/4)? *@GeoIntern https://t.co/0ItHNm5TMV;6/20/2019 23:12;5
groundwater contamination;1.14E+18;"*@democracynow Groundwater near 90% of reporting Illinois coal ash sites contain toxic pollutants like arsenic, cobalt, and lithium. Coal ash consists of carcinogens, neurotoxins, and poisons, threatens human health and wildlife alike. https://t.co/CfKHDwBXhF 
https://t.co/iikr13LXoB";6/20/2019 21:50;0
groundwater contamination;1.14E+18;Another significant piece of environmental news in Illinois today. A state board rules that NRG is liable for groundwater contamination from coal ash. https://t.co/iY8vNk7WpT;6/20/2019 19:51;1
groundwater contamination;1.14E+18;Huge victory today in IL for clean water + corporate accountability as Pollution Control Board rules that *@nrgenergy is liable for groundwater contamination from its toxic coal ash in 4 communities in IL. Time to clean up, *@nrgenergy. #beyondcoal https://t.co/KJnLKzBE2r;6/20/2019 19:01;15
groundwater contamination;1.14E+18;A significant development in the ongoing effort to resolve groundwater contamination issues at the site of the Hidden Lane Landfill in #Loudoun. The EPA says it will connect homes affected by the landfill to a public water system. Details here: https://t.co/tn28Zaqwj7 https://t.co/qgf1rC1aU6;6/20/2019 18:33;0
groundwater contamination;1.14E+18;"#Illinois is still allowing the polluting of the water &amp  destroying nature for dirty energy companies. #environment

https://t.co/ogxf3jDa9B";6/20/2019 18:21;1
groundwater contamination;1.14E+18;After #PFAS #contamination was found on Maine dairy farms, contaminating soil, groundwater &amp  milk, Michigan regulators begin to check farms using human waste as fertilizer. Is PFAS getting into the food supply? Over a dozen state a…https://t.co/si8Ix0ku3T https://t.co/VP8AACXyIH;6/20/2019 15:38;0
groundwater contamination;1.14E+18;*@hrrgorman I think the politicization comes a lot from the fear of meltdowns, which I agree is overblown. But I do think worries about groundwater contamination and such are more reasonable given current tech and energy funding.;6/20/2019 14:39;0
groundwater contamination;1.14E+18;*@MonteWall2 *@EnergyInDepth Out of civility, I will leave the theology out of the discussion, but the effects of coal and oil burning and related spills are not fear mongering. https://t.co/SHkjFCkkkl;6/20/2019 14:10;0
groundwater contamination;1.14E+18;*@MonteWall2 *@EnergyInDepth And do you genuinely believe those outweigh the costs of poisoning the air and water from coal emissions, coal ash spills, and groundwater aquifer contamination that will persist long past 4-20 generations from now?;6/20/2019 13:34;0
groundwater contamination;1.14E+18;Dear #WisconsinStateFarmer #KewauneeCounty #residents are #payingforit #bigtime Best, Retiring Guy #CAFOs #groundwater #manure #contamination https://t.co/nJUB4ocylo https://t.co/KR5tWyGSgW;6/20/2019 12:38;0
groundwater contamination;1.14E+18;"While  locating groundwater in the Satara, Solapur and Sangli region, researchers from the Indian Institute of Geomagnetism point out that there is urgent need to protect the existing aquifers from contamination.
https://t.co/ESSgNAzkmg via *@STEAMindiaReports";6/20/2019 10:11;5
