category;tweet_id;text;date;retweet_count;geo;coordinates;place_id;place_centroid;place_country;place_country_code;place_full_name;place_name;place_type
#chemicalspill;1.15E+18;"Our static bin chemical #spillkits are designed to absorb and retain all industrial liquids, including aggressive chemicals and oil and are AdBlue compliant.
 https://t.co/tobzZGonqb 
#chemicalSpill
#Healthandsafety https://t.co/fy10AeL17M";7/25/2019 12:05;1;;;;;;;;;
#chemicalspill;1.15E+18;"Our static bin chemical #spillkits are designed to absorb and retain all industrial liquids, including aggressive chemicals and oil and are AdBlue compliant.
 https://t.co/tobzZGonqb 
#chemicalSpill
#Healthandsafety https://t.co/eeN2jHsAZX";7/25/2019 11:33;1;;;;;;;;;
#chemicalspill;1.15E+18;Make sure your staff are always ready to deal with a hazardous spill with our wall mounted chemical spill station: https://t.co/XdxBJ2q7J3 #chemicalspill #chemicalspillstation #hazardousspill #hospitalhealthandsafety https://t.co/Ddr6yUS0Kq;7/24/2019 9:30;0;;;;;;;;;
#chemicalspill;1.15E+18;"Supplied in an easy access clip close carrier, our complete spill kit is designed for spills up to 20litres.
#Spills #OilSpill #ChemicalSpill
https://t.co/xFgbvSHKnB https://t.co/uK1YoXd0tm";7/22/2019 15:23;0;;;;;;;;;
#drinkingwatercontamination;1.15E+18;New in this week's MMWR: Reports on #HepatitisC Testing and Treatment, #Polio Elimination in Nigeria, North Carolina #DrinkingWaterContamination, and more! https://t.co/ISN6xUNtZ2 https://t.co/vMRQEFlWU4;7/25/2019 17:05;2;;;;;;;;;
#algaebloom;1.16E+18;More shipments across US: Patent-Pending #aquaflex Tech 2 Remove/Detect #legionella #microcystin #flesheatingbacteria  #cyanobacteria #algae #algaebloom #oil &amp  other harmful #chemicals &amp  #toxins from #water 2 help prevent #human  #health Impact &amp  Preserve &amp  Protect #environment https://t.co/rqsJvnxrMR;7/27/2019 20:38;0;;;;;;;;;
#algaebloom;1.16E+18;#Ohio #Toledo Mayor might be surprised to learn that breakthrough of #algaebloom #cyanobacteria cells &amp  cell-debris into #water treatment plants could cause process issues &amp  lead to breakthrough of toxins even with low toxin concentrations at the intake. https://t.co/xSMf4cYf8n;7/27/2019 16:21;1;;;36775d842cbec509;-73.59375993921896,45.557830499999994;Canada;CA;Montréal, Québec;Montréal;city
#algaebloom;1.16E+18;An #AlgaeBloom has developed in the west end of #LakeErie. The bloom is growing in size and now has concentrations of the hazardous #Microcystis #cyanobacteria. (https://t.co/rS8eo7JUFX…/lake-erie-turning-green-as-toxic-al…);7/27/2019 11:47;0;;;;;;;;;
#algaebloom;1.16E+18;An #AlgaeBloom has developed in the west end of #LakeErie. The bloom is growing in size and now has concentrations of the hazardous #Microcystis #cyanobacteria. https://t.co/XabOyR9U9v;7/27/2019 11:28;5;;;;;;;;;
#algaebloom;1.16E+18;The toxic #AlgaeBloom conditions at Silverwood Lake State Recreational Area have not improved, officials said.  https://t.co/lwEwaPpmhe via *@Hugo_VVNews;7/27/2019 11:17;0;;;;;;;;;
#algaebloom;1.15E+18;Day 209: Composition - Patterns “Paint By Algae” #algaebloom #swamp #aerialphotography #aerialphotos #aerialphotographer #dronephotography #dronephotos # dronephoto #aerialphoto #aerial #52weekphotochallenge… https://t.co/s8UouI08T9;7/27/2019 3:29;0;37.22816,-77.40348;-77.40348,37.22816;5fb04b3fffc3ad07;-77.40076597491773,37.208034;United States;US;Petersburg, VA;Petersburg;city
#algaebloom;1.15E+18;How does #cyanobacteria bloom #algaebloom in #water look like? See this: https://t.co/YJEXRcQkbk;7/26/2019 19:56;2;;;36775d842cbec509;-73.59375993921896,45.557830499999994;Canada;CA;Montréal, Québec;Montréal;city
#algaebloom;1.15E+18;*@christylfrank *@EddieGreatLakes While we need to work fixing the #algaebloom &amp  #cyanobacteria bloom  issue, we have to build a management strategy  #water authorities can start here: https://t.co/cEZINlZqYD;7/26/2019 16:06;0;;;36775d842cbec509;-73.59375993921896,45.557830499999994;Canada;CA;Montréal, Québec;Montréal;city
#algaebloom;1.15E+18;"“Until the phosphorus inputs are reduced significantly and consistently so that only the mildest blooms occur, the people, the ecosystem, and the economy of this region are being threatened.” #AlgaeBloom #LakeErie #ChemicalFertilizers 
https://t.co/QLh1dWt0eY";7/26/2019 14:00;0;;;;;;;;;
#algaebloom;1.15E+18;The #RV_METEOR team discovered this red #algaebloom on their #expedition to #Mauretania. The colour is caused by #unicellular #ciliates. Read more about the expedition #M156: https://t.co/uGWvxRDkFp *@uni_kl *@BMBF_Bund #REEBUS https://t.co/juacS4WPns;7/26/2019 13:44;5;;;;;;;;;
#algaebloom;1.15E+18;If past years are any indication, the toxic #AlgaeBloom on the New Jersey side of Greenwood Lake that has prompted advisories against contact with the water may stick around for the rest of summer..  https://t.co/DHmrflR5xH via *@northjersey;7/26/2019 11:31;1;;;;;;;;;
#algaebloom;1.15E+18;2019 ongoing #cyanobacteria #algae #algaebloom in #LakeErie #GreatLakes https://t.co/kJHnuWWNU8;7/26/2019 9:59;3;;;36775d842cbec509;-73.59375993921896,45.557830499999994;Canada;CA;Montréal, Québec;Montréal;city
#algaebloom;1.15E+18;Cost of #cyanobacteria #algae #algaebloom in #LakeErie #GreatLakes https://t.co/fz2J0Ez6ai;7/26/2019 1:33;4;;;36775d842cbec509;-73.59375993921896,45.557830499999994;Canada;CA;Montréal, Québec;Montréal;city
